ï»¿textbox22,,,,,,,,,,,,,,,,,,,,,
generated on 03/11/2017 18:08:30 UTC,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Austria,European Region of WHO,South West Europe,1997,1,12/30/96,1/5/97,,,,,,,1,1,,,,0,1,,Sporadic
Austria,European Region of WHO,South West Europe,1997,2,1/6/97,1/12/97,,,,,,,,0,,,,0,0,,No Report
Austria,European Region of WHO,South West Europe,1997,3,1/13/97,1/19/97,,,,,,,8,8,,,,0,8,,Regional Outbreak
Austria,European Region of WHO,South West Europe,1997,5,1/27/97,2/2/97,,,,,,,32,32,,,1,1,33,,Widespread Outbreak
Austria,European Region of WHO,South West Europe,1997,7,2/10/97,2/16/97,,,,,,,,0,,,,0,0,,Sporadic
Austria,European Region of WHO,South West Europe,1997,8,2/17/97,2/23/97,,,,,,,33,33,,,1,1,34,,Sporadic
Austria,European Region of WHO,South West Europe,1997,9,2/24/97,3/2/97,,,,,,,,0,,,,0,0,,Sporadic
Austria,European Region of WHO,South West Europe,1997,10,3/3/97,3/9/97,,,,,,,8,8,,,1,1,9,,Sporadic
Austria,European Region of WHO,South West Europe,1997,11,3/10/97,3/16/97,,,,,,,0,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1997,12,3/17/97,3/23/97,,,,,,,0,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1997,40,9/29/97,10/5/97,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1997,41,10/6/97,10/12/97,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1997,42,10/13/97,10/19/97,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1997,43,10/20/97,10/26/97,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1997,44,10/27/97,11/2/97,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1997,45,11/3/97,11/9/97,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1997,46,11/10/97,11/16/97,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1997,47,11/17/97,11/23/97,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1997,48,11/24/97,11/30/97,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1997,50,12/8/97,12/14/97,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1997,51,12/15/97,12/21/97,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1997,52,12/22/97,12/28/97,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1998,1,12/29/97,1/4/98,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1998,2,1/5/98,1/11/98,,,,,,,,0,,,,0,0,,Sporadic
Austria,European Region of WHO,South West Europe,1998,4,1/19/98,1/25/98,,,,,,,,0,,,,0,0,,Sporadic
Austria,European Region of WHO,South West Europe,1998,5,1/26/98,2/1/98,,,,,,,,0,,,,0,0,,Local Outbreak
Austria,European Region of WHO,South West Europe,1998,6,2/2/98,2/8/98,,,,,,,,0,,,,0,0,,Widespread Outbreak
Austria,European Region of WHO,South West Europe,1998,7,2/9/98,2/15/98,,,,,,,,0,,,,0,0,,Widespread Outbreak
Austria,European Region of WHO,South West Europe,1998,8,2/16/98,2/22/98,,,,,,,,0,,,,0,0,,Widespread Outbreak
Austria,European Region of WHO,South West Europe,1998,9,2/23/98,3/1/98,,,,,,,,0,,,,0,0,,Widespread Outbreak
Austria,European Region of WHO,South West Europe,1998,10,3/2/98,3/8/98,,,,,,,,0,,,,0,0,,Widespread Outbreak
Austria,European Region of WHO,South West Europe,1998,11,3/9/98,3/15/98,,,,,,,,0,,,,0,0,,Widespread Outbreak
Austria,European Region of WHO,South West Europe,1998,12,3/16/98,3/22/98,,,,,,,,0,,,,0,0,,Widespread Outbreak
Austria,European Region of WHO,South West Europe,1998,13,3/23/98,3/29/98,,,,,,,,0,,,,0,0,,Widespread Outbreak
Austria,European Region of WHO,South West Europe,1998,15,4/6/98,4/12/98,,,,,,,,0,,,,0,0,,No Report
Austria,European Region of WHO,South West Europe,1998,28,7/6/98,7/12/98,,,,,,,,0,,,,0,0,,No Report
Austria,European Region of WHO,South West Europe,1998,39,9/21/98,9/27/98,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1998,40,9/28/98,10/4/98,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1998,41,10/5/98,10/11/98,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1998,42,10/12/98,10/18/98,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1998,43,10/19/98,10/25/98,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1998,44,10/26/98,11/1/98,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1998,45,11/2/98,11/8/98,,,,,,,1,1,,,1,1,2,,Sporadic
Austria,European Region of WHO,South West Europe,1998,49,11/30/98,12/6/98,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1998,50,12/7/98,12/13/98,,,,,,,,0,,,,0,0,,Sporadic
Austria,European Region of WHO,South West Europe,1998,51,12/14/98,12/20/98,,,,,,,,0,,,,0,0,,Sporadic
Austria,European Region of WHO,South West Europe,1998,52,12/21/98,12/27/98,,,,,,,,0,,,,0,0,,Local Outbreak
Austria,European Region of WHO,South West Europe,1998,53,12/28/98,1/3/99,,,,,,,3,3,,,,0,3,,Local Outbreak
Austria,European Region of WHO,South West Europe,1999,3,1/18/99,1/24/99,,,,,,,,0,,,,0,0,,Widespread Outbreak
Austria,European Region of WHO,South West Europe,1999,4,1/25/99,1/31/99,,,,,,,34,34,,,1,1,35,,Widespread Outbreak
Austria,European Region of WHO,South West Europe,1999,5,2/1/99,2/7/99,,,,,,,,0,,,,0,0,,Widespread Outbreak
Austria,European Region of WHO,South West Europe,1999,6,2/8/99,2/14/99,,,,,,,31,31,,,9,9,40,,Widespread Outbreak
Austria,European Region of WHO,South West Europe,1999,7,2/15/99,2/21/99,,,,,,,,0,,,,0,0,,Widespread Outbreak
Austria,European Region of WHO,South West Europe,1999,8,2/22/99,2/28/99,,,,,,,,0,,,,0,0,,Widespread Outbreak
Austria,European Region of WHO,South West Europe,1999,9,3/1/99,3/7/99,,,,,,,,0,,,,0,0,,Regional Outbreak
Austria,European Region of WHO,South West Europe,1999,10,3/8/99,3/14/99,,,,,,,,0,,,,0,0,,Regional Outbreak
Austria,European Region of WHO,South West Europe,1999,11,3/15/99,3/21/99,,,,,,,,0,,,,0,0,,Sporadic
Austria,European Region of WHO,South West Europe,1999,12,3/22/99,3/28/99,,,,,,,,0,,,,0,0,,Sporadic
Austria,European Region of WHO,South West Europe,1999,13,3/29/99,4/4/99,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1999,14,4/5/99,4/11/99,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1999,38,9/20/99,9/26/99,,,,,,,0,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1999,39,9/27/99,10/3/99,,,,,,,0,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1999,40,10/4/99,10/10/99,,,,,,,0,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1999,41,10/11/99,10/17/99,,,,,,,0,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1999,42,10/18/99,10/24/99,,,,,,,0,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1999,46,11/15/99,11/21/99,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1999,47,11/22/99,11/28/99,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1999,48,11/29/99,12/5/99,,,,,,,,0,,,,0,0,,No Activity
Austria,European Region of WHO,South West Europe,1999,49,12/6/99,12/12/99,,,,,,,,0,,,,0,0,,No Activity
